OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2024-10-05T17:43:14.510496,14.3298353700,0.0025492000,74.0418000000,26.9105000000,219.0823000000,140.8487000000,0,U,22675,999,63570,0.0003504300,0.0000093600,0E-10
COSMOS 2251 DEB,1993-036E,2024-10-05T20:27:36.884736,14.3239628400,0.0014392000,74.0388000000,33.7630000000,160.2394000000,335.8678000000,0,U,33757,999,81803,0.0002841700,0.0000074300,0E-10
COSMOS 2251 DEB,1993-036F,2024-10-06T04:01:52.766112,14.4651443300,0.0015775000,74.0299000000,307.0633000000,119.8162000000,301.3771000000,0,U,33758,999,82092,0.0029410000,0.0001059600,0E-10
COSMOS 2251 DEB,1993-036G,2024-10-06T01:28:48.384768,14.8750462500,0.0006411000,74.0074000000,136.4116000000,109.6125000000,41.9112000000,0,U,33759,999,82629,0.0148170000,0.0013711300,0E-10
COSMOS 2251 DEB,1993-036H,2024-10-05T22:35:33.508320,14.3519227500,0.0020815000,74.0347000000,355.5159000000,205.3651000000,329.0465000000,0,U,33760,999,81923,0.0006189800,0.0000174800,0E-10
COSMOS 2251 DEB,1993-036J,2024-10-05T22:24:44.792928,14.4035986600,0.0022218000,74.0390000000,334.0091000000,166.7857000000,6.6492000000,0,U,33761,999,81997,0.0023823000,0.0000756200,0E-10
COSMOS 2251 DEB,1993-036K,2024-10-05T17:11:59.847360,14.3343042600,0.0015556000,74.0440000000,21.5685000000,197.1158000000,284.1413000000,0,U,33762,999,81842,0.0003639500,0.0000098000,0E-10
COSMOS 2251 DEB,1993-036M,2024-10-05T16:29:17.600928,14.3793112200,0.0022807000,74.0373000000,351.4953000000,57.7657000000,65.1658000000,0,U,33764,999,81928,0.0017173000,0.0000518000,0E-10
COSMOS 2251 DEB,1993-036N,2024-10-06T03:41:58.613568,14.8373945400,0.0107601000,74.0160000000,328.7419000000,173.8671000000,217.8765000000,0,U,33765,999,83155,0.0040967000,0.0003772000,0E-10
COSMOS 2251 DEB,1993-036P,2024-10-05T20:38:00.706560,14.3265345800,0.0066067000,74.1895000000,199.8495000000,167.3094000000,192.9741000000,0,U,33766,999,81540,0.0027681000,0.0000769200,0E-10
COSMOS 2251 DEB,1993-036R,2024-10-05T21:39:55.878912,13.5778159400,0.0367468000,74.0706000000,198.1543000000,92.2064000000,337.5250000000,0,U,33768,999,77419,0.0027977000,0.0000311000,0E-10
COSMOS 2251 DEB,1993-036U,2024-10-06T02:58:10.520832,14.5715289300,0.0020921000,74.0453000000,281.9454000000,60.5356000000,6.7980000000,0,U,33779,999,82201,0.0083764000,0.0003808900,0E-10
COSMOS 2251 DEB,1993-036X,2024-10-05T16:26:27.134592,14.3849442100,0.0020343000,74.0374000000,357.4063000000,174.7450000000,312.5627000000,0,U,33782,999,81894,0.0022724000,0.0000694000,0E-10
COSMOS 2251 DEB,1993-036Z,2024-10-05T12:48:15.755616,14.9597498300,0.0039792000,74.1817000000,339.4802000000,314.6646000000,154.6291000000,0,U,33784,999,83518,0.0059138000,0.0006797000,0E-10
COSMOS 2251 DEB,1993-036AA,2024-10-05T19:43:16.791168,14.5729483700,0.0027849000,73.8746000000,181.1246000000,218.6965000000,202.6911000000,0,U,33785,999,82167,0.0076857000,0.0003511700,0E-10
COSMOS 2251 DEB,1993-036AE,2024-10-05T23:21:08.697312,13.8770219500,0.0242942000,74.0623000000,101.3428000000,317.0632000000,197.4794000000,0,U,33789,999,79096,0.0015769000,0.0000233600,0E-10
COSMOS 2251 DEB,1993-036AG,2024-10-05T21:09:55.218240,14.3950378600,0.0031025000,74.1736000000,112.7503000000,69.3256000000,45.6152000000,0,U,33791,999,81814,0.0043727000,0.0001371400,0E-10
COSMOS 2251 DEB,1993-036AH,2024-10-05T13:10:35.711616,13.4462808800,0.0430376000,73.9010000000,316.6597000000,98.8542000000,14.5235000000,0,U,33792,999,76616,0.0024121000,0.0000244600,0E-10
COSMOS 2251 DEB,1993-036AJ,2024-10-05T21:50:50.312256,14.2517435500,0.0078950000,73.9844000000,215.1661000000,103.4601000000,319.6434000000,0,U,33793,999,81034,0.0041153000,0.0000997300,0E-10
COSMOS 2251 DEB,1993-036AL,2024-10-06T03:45:34.593696,14.8441420600,0.0051468000,74.0397000000,229.5450000000,69.8292000000,302.0462000000,0,U,33795,999,83561,0.0058444000,0.0005065400,0E-10
COSMOS 2251 DEB,1993-036AN,2024-10-05T20:40:28.659648,14.5447707000,0.0065791000,74.0475000000,135.7840000000,332.6635000000,38.4047000000,0,U,33797,999,82683,0.0021590000,0.0000944700,0E-10
