OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2024-10-05T20:09:03.936960,14.3454883800,0.0007808000,86.3836000000,249.7275000000,171.7631000000,188.3694000000,0,U,24946,999,41628,0.0006597800,0.0000188100,0E-10
IRIDIUM 33 DEB,1997-051L,2024-10-06T03:41:27.133728,14.4149970200,0.0012939000,86.4001000000,243.5324000000,133.4886000000,226.7392000000,0,U,33773,999,82116,0.0022102000,0.0000720300,0E-10
IRIDIUM 33 DEB,1997-051N,2024-10-06T03:51:56.346912,14.3920841100,0.0015577000,86.3653000000,233.7742000000,142.9533000000,228.1943000000,0,U,33775,999,81922,0.0023499000,0.0000731200,0E-10
IRIDIUM 33 DEB,1997-051P,2024-10-05T21:24:43.790400,14.3676753600,0.0014896000,86.3995000000,262.2331000000,167.7758000000,256.5205000000,0,U,33776,999,81863,0.0021355000,0.0000632700,0E-10
IRIDIUM 33 DEB,1997-051Q,2024-10-05T21:22:08.235840,14.5002389700,0.0006119000,86.3839000000,222.6142000000,301.9377000000,58.1232000000,0,U,33777,999,82247,0.0061737000,0.0002400200,0E-10
IRIDIUM 33 DEB,1997-051T,2024-10-06T02:09:21.426912,14.3984326700,0.0012363000,86.3468000000,215.8068000000,144.9775000000,225.8021000000,0,U,33850,999,81924,0.0032191000,0.0001013800,0E-10
IRIDIUM 33 DEB,1997-051W,2024-10-05T18:07:40.513728,13.9574941900,0.0220088000,86.0058000000,179.1781000000,121.4531000000,295.8962000000,0,U,33853,999,79297,0.0068670000,0.0001149900,0E-10
IRIDIUM 33 DEB,1997-051AC,2024-10-05T20:19:40.927008,14.7018029900,0.0042809000,86.3378000000,203.4030000000,82.1369000000,278.4703000000,0,U,33859,999,82089,0.0169470000,0.0010493700,0E-10
IRIDIUM 33 DEB,1997-051AD,2024-10-05T20:55:57.978912,14.5740650900,0.0014297000,86.3905000000,217.3278000000,26.7767000000,33.0111000000,0,U,33860,999,82405,0.0071827000,0.0003276000,0E-10
IRIDIUM 33 DEB,1997-051AF,2024-10-06T02:54:59.978592,14.5835267500,0.0061158000,86.4133000000,226.7955000000,107.5052000000,263.9499000000,0,U,33862,999,82490,0.0067769000,0.0003232400,0E-10
IRIDIUM 33 DEB,1997-051AH,2024-10-05T13:55:00.075936,14.8171322900,0.0005757000,86.2690000000,123.3545000000,185.8969000000,227.5169000000,0,U,33864,999,82621,0.0118900000,0.0009490800,0E-10
IRIDIUM 33 DEB,1997-051AK,2024-10-05T18:23:34.089792,14.2106774900,0.0115125000,86.2981000000,275.6003000000,106.8818000000,66.0286000000,0,U,33866,999,80650,0.0026767000,0.0000623100,0E-10
IRIDIUM 33 DEB,1997-051AL,2024-10-05T19:28:59.914848,14.8512869700,0.0020183000,86.4144000000,193.9594000000,133.1420000000,227.1496000000,0,U,33867,999,82993,0.0092448000,0.0008020000,0E-10
IRIDIUM 33 DEB,1997-051AP,2024-10-05T22:19:45.518016,14.4180104800,0.0021762000,86.3752000000,243.1072000000,169.1696000000,245.5051000000,0,U,33870,999,81898,0.0044831000,0.0001472200,0E-10
IRIDIUM 33 DEB,1997-051AT,2024-10-05T21:18:52.557120,14.6679174600,0.0031235000,86.2831000000,204.5504000000,10.6939000000,31.4545000000,0,U,33874,999,81584,0.0249870000,0.0014317000,0E-10
IRIDIUM 33 DEB,1997-051BA,2024-10-05T11:13:25.711680,14.4188449700,0.0063025000,86.3866000000,293.0686000000,174.3091000000,313.7743000000,0,U,33881,999,81218,0.0043777000,0.0001470600,0E-10
IRIDIUM 33 DEB,1997-051BD,2024-10-05T20:56:12.908832,14.6330879000,0.0016373000,86.3762000000,203.4291000000,29.0128000000,37.8818000000,0,U,33884,999,82482,0.0062481000,0.0003244000,0E-10
IRIDIUM 33 DEB,1997-051BF,2024-10-06T04:30:22.463136,14.3511419300,0.0012550000,86.3805000000,249.0322000000,213.1556000000,157.8674000000,0,U,33886,999,81848,0.0012004000,0.0000344700,0E-10
IRIDIUM 33 DEB,1997-051BG,2024-10-05T19:36:51.414336,14.3648178800,0.0005042000,86.3120000000,189.7532000000,199.1023000000,228.0899000000,0,U,33887,999,81948,0.0010386000,0.0000306500,0E-10
IRIDIUM 33 DEB,1997-051BN,2024-10-06T03:46:07.436928,14.4872567500,0.0023876000,86.3892000000,240.4470000000,102.8370000000,268.6725000000,0,U,33953,999,82072,0.0078626000,0.0002986800,0E-10
IRIDIUM 33 DEB,1997-051BU,2024-10-06T04:48:36.888480,14.7564461400,0.0034370000,86.3603000000,245.4391000000,249.2190000000,110.5346000000,0,U,33959,999,81671,0.0245580000,0.0017333800,0E-10
IRIDIUM 33 DEB,1997-051BV,2024-10-05T20:34:29.321184,14.6505598200,0.0003586000,86.2662000000,130.3523000000,95.4673000000,275.9201000000,0,U,33960,999,82495,0.0081721000,0.0004409900,0E-10
IRIDIUM 33 DEB,1997-051CA,2024-10-06T04:12:40.281408,14.9956346600,0.0015843000,86.3542000000,181.5161000000,92.6373000000,267.6672000000,0,U,33965,999,82697,0.0149210000,0.0018854400,0E-10
IRIDIUM 33 DEB,1997-051CB,2024-10-06T03:45:43.231968,14.4630103800,0.0006277000,86.3947000000,231.1074000000,186.3158000000,185.2300000000,0,U,33966,999,82206,0.0038658000,0.0001389100,0E-10
IRIDIUM 33 DEB,1997-051CE,2024-10-05T20:17:17.294784,14.4579108300,0.0010308000,86.3523000000,205.4004000000,101.6921000000,258.5438000000,0,U,34071,999,82070,0.0038201000,0.0001358800,0E-10
IRIDIUM 33 DEB,1997-051CL,2024-10-06T04:02:10.447872,14.5366630000,0.0016826000,86.3894000000,240.3582000000,60.8297000000,310.8913000000,0,U,34077,999,82023,0.0072150000,0.0003037300,0E-10
IRIDIUM 33 DEB,1997-051CN,2024-10-05T20:40:17.916672,14.6663978400,0.0013415000,86.3876000000,203.0828000000,50.9516000000,17.1401000000,0,U,34079,999,82591,0.0093558000,0.0005242800,0E-10
IRIDIUM 33 DEB,1997-051CV,2024-10-05T20:12:55.473408,14.8313612500,0.0020956000,86.3727000000,225.5269000000,73.1560000000,346.3402000000,0,U,34086,999,2851,0.0208240000,0.0017452000,0E-10
IRIDIUM 33 DEB,1997-051CX,2024-10-05T20:40:54.300576,14.6620594400,0.0004518000,86.3957000000,225.5110000000,9.8516000000,43.3263000000,0,U,34088,999,82343,0.0116930000,0.0006493600,0E-10
IRIDIUM 33 DEB,1997-051DA,2024-10-05T15:55:20.604288,14.5307299100,0.0056484000,86.3589000000,260.2138000000,8.1554000000,352.0556000000,0,U,34091,999,81513,0.0194710000,0.0008309000,0E-10
IRIDIUM 33 DEB,1997-051DG,2024-10-05T04:54:05.959296,14.2907462800,0.0087759000,86.2080000000,191.9471000000,330.4219000000,29.2024000000,0,U,34097,999,80913,0.0106360000,0.0002818600,0E-10
IRIDIUM 33 DEB,1997-051DM,2024-10-06T02:52:40.772640,14.7315218200,0.0056768000,86.3533000000,294.6883000000,189.8808000000,206.3247000000,0,U,34102,999,81117,0.0261190000,0.0017681300,0E-10
IRIDIUM 33 DEB,1997-051DR,2024-10-05T18:08:14.806752,14.8687820600,0.0010639000,86.3489000000,174.8603000000,16.2544000000,41.9361000000,0,U,34106,999,82694,0.0125390000,0.0011376800,0E-10
IRIDIUM 33 DEB,1997-051DS,2024-10-06T03:06:54.126432,14.9568286700,0.0007150000,86.3805000000,181.9160000000,28.6318000000,109.5252000000,0,U,34107,999,82816,0.0110510000,0.0012503500,0E-10
IRIDIUM 33 DEB,1997-051DY,2024-10-05T16:30:58.866048,14.3710415200,0.0061027000,86.2195000000,164.6377000000,76.1706000000,284.6272000000,0,U,34145,999,81405,0.0050411000,0.0001533500,0E-10
IRIDIUM 33 DEB,1997-051DZ,2024-10-05T11:18:54.900000,14.4411031300,0.0028079000,86.2909000000,180.4596000000,223.8416000000,311.4636000000,0,U,34146,999,81841,0.0053958000,0.0001862200,0E-10
IRIDIUM 33 DEB,1997-051EN,2024-10-06T04:05:37.187520,14.3650928400,0.0026176000,86.3524000000,232.2810000000,266.1414000000,93.6790000000,0,U,34159,999,81743,0.0024347000,0.0000719300,0E-10
IRIDIUM 33 DEB,1997-051ES,2024-10-05T19:31:30.724320,14.4337133200,0.0023272000,86.3355000000,190.3044000000,128.8059000000,301.7024000000,0,U,34350,999,82043,0.0023152000,0.0000785700,0E-10
IRIDIUM 33 DEB,1997-051FA,2024-10-06T03:12:54.842976,15.4058086900,0.0022407000,86.2528000000,151.4672000000,96.8073000000,57.4691000000,0,U,34358,999,82640,0.0188760000,0.0083330800,0E-10
IRIDIUM 33 DEB,1997-051FJ,2024-10-05T22:15:25.003008,14.4709237000,0.0024102000,86.3705000000,236.5025000000,141.0326000000,282.2106000000,0,U,34366,999,81904,0.0072808000,0.0002672100,0E-10
IRIDIUM 33 DEB,1997-051FT,2024-10-05T17:35:57.544224,14.1650308700,0.0105688000,86.4361000000,357.1732000000,62.7838000000,66.7603000000,0,U,34375,999,80578,0.0023041000,0.0000486100,0E-10
IRIDIUM 33 DEB,1997-051FU,2024-10-05T23:39:22.688064,14.5124935700,0.0029043000,86.3093000000,199.2912000000,190.4566000000,169.6039000000,0,U,34376,999,81865,0.0088676000,0.0003561400,0E-10
IRIDIUM 33 DEB,1997-051GB,2024-10-05T19:36:22.836672,14.7196011900,0.0011044000,86.4076000000,207.9279000000,185.5066000000,227.8911000000,0,U,34486,999,82565,0.0088432000,0.0005591200,0E-10
IRIDIUM 33 DEB,1997-051GC,2024-10-05T12:56:05.344800,14.4205411900,0.0033476000,86.3508000000,198.6341000000,119.7726000000,53.8305000000,0,U,34487,999,82002,0.0013918000,0.0000461900,0E-10
IRIDIUM 33 DEB,1997-051GD,2024-10-06T02:05:54.422016,14.8021825600,0.0018108000,86.3389000000,150.4828000000,119.1022000000,241.2015000000,0,U,34488,999,82861,0.0086727000,0.0006669600,0E-10
IRIDIUM 33 DEB,1997-051GH,2024-10-06T02:05:56.181984,14.1015654100,0.0231842000,86.4877000000,147.1243000000,177.9825000000,335.1404000000,0,U,34492,999,78941,0.0174010000,0.0003972400,0E-10
