OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z,Cluster,Density
IRIDIUM 33,1997-051C,2024-10-05T20:09:03.936960,-2560.9949077208103,-6545.5124098130445,-1389.2491268284225,-1,-28.616630216536386
IRIDIUM 33 DEB,1997-051L,2024-10-06T03:41:27.133728,3183.7246887995634,6370.668649752653,-323.05747035066224,3,-28.0647834093168
IRIDIUM 33 DEB,1997-051N,2024-10-06T03:51:56.346912,3877.00831842991,4874.007160536346,3465.013120129894,0,-27.993254847826144
IRIDIUM 33 DEB,1997-051P,2024-10-05T21:24:43.790400,1092.3458624598954,6005.872097072749,3694.690747857373,-1,-28.541491900887223
IRIDIUM 33 DEB,1997-051Q,2024-10-05T21:22:08.235840,3904.8214909770545,3114.969142478988,5051.291544305229,-1,-28.1761429233815
IRIDIUM 33 DEB,1997-051T,2024-10-06T02:09:21.426912,5567.733992823027,3792.254013653761,2332.7403521134243,-1,-28.40716271110654
IRIDIUM 33 DEB,1997-051W,2024-10-05T18:07:40.513728,-7017.623539427611,317.53885849154636,-2348.6053417545927,1,-28.2183336082362
IRIDIUM 33 DEB,1997-051AC,2024-10-05T20:19:40.927008,-2419.7963840256853,-1472.6617493473182,6403.771755959496,7,-27.612465021910108
IRIDIUM 33 DEB,1997-051AD,2024-10-05T20:55:57.978912,-3984.7590997789057,-2581.9879261347382,-5256.1912332968595,-1,-28.060982625113787
IRIDIUM 33 DEB,1997-051AF,2024-10-06T02:54:59.978592,-3633.5028628327905,-4226.965514715445,4327.9672755831425,5,-28.085465565968747
IRIDIUM 33 DEB,1997-051AH,2024-10-05T13:55:00.075936,2695.0315899280413,-4711.5849034625135,4413.0052810256475,-1,-28.738937650952654
IRIDIUM 33 DEB,1997-051AK,2024-10-05T18:23:34.089792,-106.30928942163183,4882.5279408361075,5185.653510569537,-1,-28.38711910613048
IRIDIUM 33 DEB,1997-051AL,2024-10-05T19:28:59.914848,-3740.3730492947243,-519.5866466535306,-5908.320519428672,1,-27.335932468421504
IRIDIUM 33 DEB,1997-051AP,2024-10-05T22:19:45.518016,-2644.8034139429788,-4454.972877978444,-4928.69108035922,-1,-28.880228938429894
IRIDIUM 33 DEB,1997-051AT,2024-10-05T21:18:52.557120,3052.385148788232,1805.0464373779353,-6115.561302585193,2,-27.86073567299947
IRIDIUM 33 DEB,1997-051BA,2024-10-05T11:13:25.711680,-363.8203149842408,-298.91971307819097,-7130.5256167759035,2,-27.2205755627162
IRIDIUM 33 DEB,1997-051BD,2024-10-05T20:56:12.908832,-6032.466326780155,-2373.9374977687435,-2792.0945909875695,-1,-28.147313967846106
IRIDIUM 33 DEB,1997-051BF,2024-10-06T04:30:22.463136,-2553.413003610452,-6672.822119413418,516.1358955094197,-1,-28.57095956651643
IRIDIUM 33 DEB,1997-051BG,2024-10-05T19:36:51.414336,7050.762706697798,1145.0184015265072,253.39940323071133,-1,-28.330189561306106
IRIDIUM 33 DEB,1997-051BN,2024-10-06T03:46:07.436928,3367.4410319109506,6073.8985163248835,-1536.1587095272691,3,-27.988290641650675
IRIDIUM 33 DEB,1997-051BU,2024-10-06T04:48:36.888480,-2878.0182074175646,-6359.361378407834,873.6898801592585,-1,-28.565410686776133
IRIDIUM 33 DEB,1997-051BV,2024-10-05T20:34:29.321184,-4542.577520671434,5345.170227487383,770.2143957232188,-1,-29.157158905924657
IRIDIUM 33 DEB,1997-051CA,2024-10-06T04:12:40.281408,6858.48348720347,220.5004622124844,-1112.3795413367359,-1,-28.41178870630692
IRIDIUM 33 DEB,1997-051CB,2024-10-06T03:45:43.231968,4389.539216003328,5498.919644149933,-1060.245135839062,3,-27.85560553947662
IRIDIUM 33 DEB,1997-051CE,2024-10-05T20:17:17.294784,-6450.785968141097,-2972.074441247119,-536.128162385631,4,-27.954615354956566
IRIDIUM 33 DEB,1997-051CL,2024-10-06T04:02:10.447872,3107.9587379564437,4889.427815246176,4084.3336894708077,0,-28.03088574431847
IRIDIUM 33 DEB,1997-051CN,2024-10-05T20:40:17.916672,-4315.3293372748085,-2155.291231916911,5122.570037772886,-1,-27.95286755462371
IRIDIUM 33 DEB,1997-051CV,2024-10-05T20:12:55.473408,4753.805389927956,4912.371864576111,-1548.5082047516019,3,-27.823295648445644
IRIDIUM 33 DEB,1997-051CX,2024-10-05T20:40:54.300576,-4226.134731503729,-4542.702937360474,3340.9401617482304,5,-28.21188152798677
IRIDIUM 33 DEB,1997-051DA,2024-10-05T15:55:20.604288,12.256385337514804,2456.40698274292,-6679.549006316582,2,-27.55079787103401
IRIDIUM 33 DEB,1997-051DG,2024-10-05T04:54:05.959296,-6984.646921352408,-1376.630712333526,-235.17826743645307,4,-27.833152390370365
IRIDIUM 33 DEB,1997-051DM,2024-10-06T02:52:40.772640,-339.7556900200799,1794.328995642628,6774.626941082666,-1,-27.890462709005806
IRIDIUM 33 DEB,1997-051DR,2024-10-05T18:08:14.806752,-4067.436142865702,759.860707303206,-5632.790602650678,1,-27.33899104096367
IRIDIUM 33 DEB,1997-051DS,2024-10-06T03:06:54.126432,6324.517780716377,363.9956092631347,-2903.3846086745652,-1,-28.250749097719865
IRIDIUM 33 DEB,1997-051DY,2024-10-05T16:30:58.866048,-3444.336034563021,551.6206201296442,6181.3128215213255,6,-27.9618906483995
IRIDIUM 33 DEB,1997-051DZ,2024-10-05T11:18:54.900000,-4417.912291362898,369.6590014995015,-5583.435206778557,1,-27.356156772230328
IRIDIUM 33 DEB,1997-051EN,2024-10-06T04:05:37.187520,-55.287354134107304,-808.5156861430111,7113.448754185134,7,-27.541857373572444
