OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z
SOYUZ-MS 26,2024-162A,2024-10-05T19:00:24.829920,3222.779575522618,2770.740635357083,-5315.0391318813945
SPACEMOBILE-003,2024-163A,2024-10-05T21:12:33.799392,1655.9495573601475,-6328.592236311959,2135.5442983715952
SPACEMOBILE-005,2024-163B,2024-10-05T21:07:27.964128,2858.7227812647843,-5010.387446506864,3745.151690852841
SPACEMOBILE-001,2024-163C,2024-10-05T21:06:26.629632,3060.8701074673386,-4667.023648095621,4018.3153293719142
SPACEMOBILE-002,2024-163D,2024-10-05T21:00:34.388928,3911.0551558315447,-2300.6057900548817,5166.01994792456
SPACEMOBILE-004,2024-163E,2024-10-05T20:56:45.868704,4130.9030130770225,-532.9085685488038,5470.08069802806
STARLINK-11286 [DTC],2024-164A,2024-10-05T22:10:52.474944,5854.0657242213865,-2578.705849967683,-2060.0994959392597
STARLINK-11252 [DTC],2024-164B,2024-10-06T04:09:02.152512,6653.633610341156,-835.2580699901978,421.48143781984015
STARLINK-11284 [DTC],2024-164C,2024-10-05T21:56:50.185536,5935.485005225794,1177.1483195620158,2909.3653956306744
STARLINK-11230 [DTC],2024-164D,2024-10-06T05:26:12.145344,3825.730250448695,2898.2617536976372,4690.008161217978
STARLINK-11294 [DTC],2024-164E,2024-10-05T20:11:30.485184,864.2059558795451,3933.5032266440157,5366.278877575197
STARLINK-11268 [DTC],2024-164F,2024-10-05T20:04:28.269984,-2309.8931429374597,4072.2687925056093,4807.5292024025575
STARLINK-11156 [DTC],2024-164G,2024-10-05T19:57:26.864352,-4910.041043036841,3298.4263362882803,3177.480511182693
STARLINK-11231 [DTC],2024-164H,2024-10-05T22:00:00.999936,-4993.959544315842,3265.682164013729,3115.1619074261994
STARLINK-11299 [DTC],2024-164J,2024-10-05T22:00:00.999936,-6476.045769014186,1706.8846885942883,711.3718105891622
STARLINK-11154 [DTC],2024-164K,2024-10-05T22:00:00.999936,-6472.217193151053,-243.78406358025447,-1856.9708333809785
STARLINK-11297 [DTC],2024-164L,2024-10-06T06:00:00.999648,-4982.781296189245,-2141.7155789707535,-4000.339182388004
STARLINK-11233 [DTC],2024-164M,2024-10-05T22:00:00.999936,-2358.964506603861,-3548.5962815427843,-5222.04615863921
STARLINK-11236 [DTC],2024-164N,2024-10-05T22:00:00.999936,804.8147097603185,-4149.938042643729,-5249.392728378775
STARLINK-32350,2024-164P,2024-10-05T22:00:00.999936,-5203.857687953145,-2104.1379495830397,-3841.054378858955
STARLINK-32378,2024-164Q,2024-10-05T22:00:00.999936,-4905.799231614195,-2338.685058066998,-4089.844183241939
STARLINK-32321,2024-164R,2024-10-06T06:00:00.999648,-5394.803711248387,-1946.3142170228234,-3671.706651500135
STARLINK-32381,2024-164S,2024-10-05T22:00:00.999936,-4748.4604773270175,-2451.8920693086607,-4207.162313949545
STARLINK-32368,2024-164T,2024-10-05T22:00:00.999936,-4585.415513640311,-2563.294854298493,-4320.769600360744
STARLINK-32385,2024-164U,2024-10-06T06:00:00.999648,-4186.18016588668,-2813.814487390825,-4569.672883046544
STARLINK-32380,2024-164V,2024-10-05T22:00:00.999936,-4244.650973193113,-2776.286297174625,-4532.169469513354
STARLINK-32375,2024-164W,2024-10-05T22:00:00.999936,-4417.834952646065,-2671.0180001501903,-4428.696383755114
QAEM 100 R/B,2024-165A,2024-10-05T21:17:47.338944,-2141.568473325513,-5427.627746266951,-3743.1898253280506
CHAMRAN-1,2024-165B,2024-10-06T04:20:04.242624,472.7919458322068,6909.967404761956,57.45208700306605
2024-166A,2024-166A,2024-10-06T02:32:43.222848,-5873.036365599652,807.0149153650378,3150.5556425142954
2024-166B,2024-166B,2024-10-06T05:34:46.497504,-5800.7960202987515,816.8916343715563,3278.5114555833434
QAEM 100 DEB,2024-165C,2024-10-06T02:08:23.506944,-1931.523416239755,-5818.966785452094,-3172.0041520667705
2024-169A,2024-169A,2024-10-06T04:54:36.288288,4614.289461886806,-208.87081153541703,5154.240346228424
2024-169B,2024-169B,2024-10-06T04:48:28.982880,2137.869494224928,-653.7389700311808,6544.29302557155
2024-169C,2024-169C,2024-10-06T04:40:12.439488,-1720.2998145247589,-1066.8734463057312,6607.008950917198
2024-169D,2024-169D,2024-10-06T04:34:38.097408,-4108.477711480183,-1158.74232663908,5431.908856339055
2024-169E,2024-169E,2024-10-06T04:29:36.286656,-5734.558397870431,-1099.6257602153287,3691.3276123574337
2024-169F,2024-169F,2024-10-06T04:18:03.707712,-6718.199291986322,-506.685481428572,-1511.9436219213371
2024-170A,2024-170A,2024-10-06T03:25:39.448416,-6418.09836684461,-3318.5506141278543,-286.1750822748161
2024-170B,2024-170B,2024-10-06T03:25:46.397568,-6449.9835917723085,-3262.1830020696307,-221.4183296108686
2024-170C,2024-170C,2024-10-06T03:29:04.518816,-6812.96296704072,-2277.4184040444707,822.6482388924968
2024-170D,2024-170D,2024-10-06T03:31:01.711776,-6895.313211939238,-1625.0769058144117,1446.372345048632
KZ-1A R/B,2024-170E,2024-10-06T05:05:27.355488,6806.086183137166,-546.9309798026216,-2303.335555691395
STARLINK-11209 [DTC],2024-171A,2024-10-05T22:00:00.999936,-2778.1072339290745,2951.87827824057,-5363.609707555523
STARLINK-11257 [DTC],2024-171B,2024-10-06T04:00:01.999584,-4889.136794594567,678.9183734694564,-4564.373258614516
STARLINK-11309 [DTC],2024-171C,2024-10-05T22:00:00.999936,-5892.080807572987,-1749.2085386031547,-2722.2348399760467
STARLINK-11292 [DTC],2024-171D,2024-10-06T04:00:01.999584,-5546.908474573347,-3783.504851691304,-246.36257778036222
STARLINK-11302 [DTC],2024-171E,2024-10-05T22:00:00.999936,-3955.008861562089,-4938.594303871022,2254.7842726268723
STARLINK-11277 [DTC],2024-171F,2024-10-06T04:00:01.999584,1422.0031075378959,-3868.2164239193976,5296.965189410754
STARLINK-11279 [DTC],2024-171G,2024-10-05T22:00:00.999936,3923.0271903774633,-1893.4341530583474,5102.175589381089
STARLINK-11091 [DTC],2024-171H,2024-10-06T04:00:01.999584,-1412.7605563475172,-4973.012930440269,4281.392692822286
STARLINK-11291 [DTC],2024-171J,2024-10-06T04:00:01.999584,5461.668895834434,331.7595800009936,3880.54916500634
STARLINK-11304 [DTC],2024-171K,2024-10-05T22:00:00.999936,5937.84090666675,2336.9779144331505,2067.951887421476
STARLINK-11307 [DTC],2024-171L,2024-10-05T22:00:00.999936,5495.592552524449,3845.1954878404813,81.004552392847
STARLINK-11298 [DTC],2024-171M,2024-10-06T04:00:01.999584,4393.9048718915765,4751.392648196322,-1762.228908370374
STARLINK-11310 [DTC],2024-171N,2024-10-06T04:00:01.999584,2972.2804357612454,5075.840129628563,-3219.351000626495
STARLINK-32386,2024-171P,2024-10-06T04:00:01.999584,5197.072965531442,-183.4427667562599,4305.108592707077
STARLINK-32392,2024-171Q,2024-10-05T22:00:00.999936,5380.1378864619255,164.29064464468374,4075.2837395103124
