OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2024-10-05T17:43:14.510496,14.32983537,0.0025492,74.0418,26.9105,219.0823,140.8487,0,U,22675,999,63570,0.00035043,9.36e-06,0
COSMOS 2251 DEB,1993-036E,2024-10-05T20:27:36.884736,14.32396284,0.0014392,74.0388,33.763,160.2394,335.8678,0,U,33757,999,81803,0.00028417,7.43e-06,0
COSMOS 2251 DEB,1993-036F,2024-10-06T04:01:52.766112,14.46514433,0.0015775,74.0299,307.0633,119.8162,301.3771,0,U,33758,999,82092,0.002941,0.00010596,0
COSMOS 2251 DEB,1993-036G,2024-10-06T01:28:48.384768,14.87504625,0.0006411,74.0074,136.4116,109.6125,41.9112,0,U,33759,999,82629,0.014817,0.00137113,0
COSMOS 2251 DEB,1993-036H,2024-10-05T22:35:33.508320,14.35192275,0.0020815,74.0347,355.5159,205.3651,329.0465,0,U,33760,999,81923,0.00061898,1.748e-05,0
COSMOS 2251 DEB,1993-036J,2024-10-05T22:24:44.792928,14.40359866,0.0022218,74.039,334.0091,166.7857,6.6492,0,U,33761,999,81997,0.0023823,7.562e-05,0
COSMOS 2251 DEB,1993-036K,2024-10-05T17:11:59.847360,14.33430426,0.0015556,74.044,21.5685,197.1158,284.1413,0,U,33762,999,81842,0.00036395,9.8e-06,0
COSMOS 2251 DEB,1993-036M,2024-10-05T16:29:17.600928,14.37931122,0.0022807,74.0373,351.4953,57.7657,65.1658,0,U,33764,999,81928,0.0017173,5.18e-05,0
COSMOS 2251 DEB,1993-036N,2024-10-06T03:41:58.613568,14.83739454,0.0107601,74.016,328.7419,173.8671,217.8765,0,U,33765,999,83155,0.0040967,0.0003772,0
COSMOS 2251 DEB,1993-036P,2024-10-05T20:38:00.706560,14.32653458,0.0066067,74.1895,199.8495,167.3094,192.9741,0,U,33766,999,81540,0.0027681,7.692e-05,0
COSMOS 2251 DEB,1993-036R,2024-10-05T21:39:55.878912,13.57781594,0.0367468,74.0706,198.1543,92.2064,337.525,0,U,33768,999,77419,0.0027977,3.11e-05,0
COSMOS 2251 DEB,1993-036U,2024-10-06T02:58:10.520832,14.57152893,0.0020921,74.0453,281.9454,60.5356,6.798,0,U,33779,999,82201,0.0083764,0.00038089,0
COSMOS 2251 DEB,1993-036X,2024-10-05T16:26:27.134592,14.38494421,0.0020343,74.0374,357.4063,174.745,312.5627,0,U,33782,999,81894,0.0022724,6.94e-05,0
COSMOS 2251 DEB,1993-036Z,2024-10-05T12:48:15.755616,14.95974983,0.0039792,74.1817,339.4802,314.6646,154.6291,0,U,33784,999,83518,0.0059138,0.0006797,0
COSMOS 2251 DEB,1993-036AA,2024-10-05T19:43:16.791168,14.57294837,0.0027849,73.8746,181.1246,218.6965,202.6911,0,U,33785,999,82167,0.0076857,0.00035117,0
COSMOS 2251 DEB,1993-036AE,2024-10-05T23:21:08.697312,13.87702195,0.0242942,74.0623,101.3428,317.0632,197.4794,0,U,33789,999,79096,0.0015769,2.336e-05,0
COSMOS 2251 DEB,1993-036AG,2024-10-05T21:09:55.218240,14.39503786,0.0031025,74.1736,112.7503,69.3256,45.6152,0,U,33791,999,81814,0.0043727,0.00013714,0
COSMOS 2251 DEB,1993-036AH,2024-10-05T13:10:35.711616,13.44628088,0.0430376,73.901,316.6597,98.8542,14.5235,0,U,33792,999,76616,0.0024121,2.446e-05,0
COSMOS 2251 DEB,1993-036AJ,2024-10-05T21:50:50.312256,14.25174355,0.007895,73.9844,215.1661,103.4601,319.6434,0,U,33793,999,81034,0.0041153,9.973e-05,0
COSMOS 2251 DEB,1993-036AL,2024-10-06T03:45:34.593696,14.84414206,0.0051468,74.0397,229.545,69.8292,302.0462,0,U,33795,999,83561,0.0058444,0.00050654,0
COSMOS 2251 DEB,1993-036AN,2024-10-05T20:40:28.659648,14.5447707,0.0065791,74.0475,135.784,332.6635,38.4047,0,U,33797,999,82683,0.002159,9.447e-05,0
COSMOS 2251 DEB,1993-036AP,2024-10-06T02:40:50.811744,14.43737846,0.0091321,74.0308,221.2409,88.5823,283.7882,0,U,33798,999,82362,0.0011766,4.183e-05,0
COSMOS 2251 DEB,1993-036AQ,2024-10-05T20:42:43.723584,14.62424328,0.003423,74.0395,203.8427,25.4251,30.9059,0,U,33799,999,82442,0.0061612,0.00031564,0
COSMOS 2251 DEB,1993-036AW,2024-10-05T17:09:17.709984,14.55883214,0.0063482,74.0333,54.0244,349.8128,10.1743,0,U,33805,999,82920,0.0015862,7.131e-05,0
COSMOS 2251 DEB,1993-036BC,2024-10-05T20:27:29.880288,14.84254306,0.0046204,73.845,106.7218,280.0598,199.1903,0,U,33811,999,83547,0.0044629,0.00038279,0
