OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SOYUZ-MS 26,2024-162A,2024-10-05T19:00:24.829920,15.49263048,0.0009172,51.6361,127.546,40.4137,319.7532,0,U,61043,999,47550,0.00056846,0.00031326,0
SPACEMOBILE-003,2024-163A,2024-10-05T21:12:33.799392,15.17233041,0.0013607,52.977,274.3365,33.1715,327.0128,0,U,61045,999,357,0.00037947,7.346e-05,0
SPACEMOBILE-005,2024-163B,2024-10-05T21:07:27.964128,15.17462009,0.0014229,52.9783,274.3232,37.3498,322.8481,0,U,61046,999,356,0.00039465,7.707e-05,0
SPACEMOBILE-001,2024-163C,2024-10-05T21:06:26.629632,15.1750876,0.0014037,52.9747,274.3003,38.012,322.1861,0,U,61047,999,356,0.00039633,7.751e-05,0
SPACEMOBILE-002,2024-163D,2024-10-05T21:00:34.388928,15.17776543,0.0013408,52.9778,274.2834,41.3841,318.8166,0,U,61048,999,356,0.00044299,8.77e-05,0
SPACEMOBILE-004,2024-163E,2024-10-05T20:56:45.868704,15.17958955,0.0013791,52.9776,274.2734,46.1821,314.0309,0,U,61049,999,356,0.0008205,0.00016626,0
STARLINK-11286 [DTC],2024-164A,2024-10-05T22:10:52.474944,15.76738764,0.0001248,53.1573,354.2866,250.6466,109.4419,0,U,61050,999,480,0.00030779,0.00050039,0
STARLINK-11252 [DTC],2024-164B,2024-10-06T04:09:02.152512,15.76632987,0.0001527,53.157,352.99,125.3249,234.7915,0,U,61051,999,475,4.8962e-05,7.332e-05,0
STARLINK-11284 [DTC],2024-164C,2024-10-05T21:56:50.185536,15.76744169,0.0001161,53.1565,354.2205,66.4562,293.6581,0,U,61052,999,377,9.6606e-05,0.00015195,0
STARLINK-11230 [DTC],2024-164D,2024-10-06T05:26:12.145344,15.76828602,6.78e-05,53.1551,352.6103,133.6135,226.4943,0,U,61053,999,486,0.0019032,0.00324454,0
STARLINK-11294 [DTC],2024-164E,2024-10-05T20:11:30.485184,15.76743125,0.0001092,53.1558,354.4721,103.2872,256.8271,0,U,61054,999,376,0.00065569,0.001081,0
