OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2024-10-05T20:09:03.936960,14.34548838,0.0007808,86.3836,249.7275,171.7631,188.3694,0,U,24946,999,41628,0.00065978,1.881e-05,0
IRIDIUM 33 DEB,1997-051L,2024-10-06T03:41:27.133728,14.41499702,0.0012939,86.4001,243.5324,133.4886,226.7392,0,U,33773,999,82116,0.0022102,7.203e-05,0
IRIDIUM 33 DEB,1997-051N,2024-10-06T03:51:56.346912,14.39208411,0.0015577,86.3653,233.7742,142.9533,228.1943,0,U,33775,999,81922,0.0023499,7.312e-05,0
IRIDIUM 33 DEB,1997-051P,2024-10-05T21:24:43.790400,14.36767536,0.0014896,86.3995,262.2331,167.7758,256.5205,0,U,33776,999,81863,0.0021355,6.327e-05,0
IRIDIUM 33 DEB,1997-051Q,2024-10-05T21:22:08.235840,14.50023897,0.0006119,86.3839,222.6142,301.9377,58.1232,0,U,33777,999,82247,0.0061737,0.00024002,0
IRIDIUM 33 DEB,1997-051T,2024-10-06T02:09:21.426912,14.39843267,0.0012363,86.3468,215.8068,144.9775,225.8021,0,U,33850,999,81924,0.0032191,0.00010138,0
IRIDIUM 33 DEB,1997-051W,2024-10-05T18:07:40.513728,13.95749419,0.0220088,86.0058,179.1781,121.4531,295.8962,0,U,33853,999,79297,0.006867,0.00011499,0
IRIDIUM 33 DEB,1997-051AC,2024-10-05T20:19:40.927008,14.70180299,0.0042809,86.3378,203.403,82.1369,278.4703,0,U,33859,999,82089,0.016947,0.00104937,0
IRIDIUM 33 DEB,1997-051AD,2024-10-05T20:55:57.978912,14.57406509,0.0014297,86.3905,217.3278,26.7767,33.0111,0,U,33860,999,82405,0.0071827,0.0003276,0
IRIDIUM 33 DEB,1997-051AF,2024-10-06T02:54:59.978592,14.58352675,0.0061158,86.4133,226.7955,107.5052,263.9499,0,U,33862,999,82490,0.0067769,0.00032324,0
IRIDIUM 33 DEB,1997-051AH,2024-10-05T13:55:00.075936,14.81713229,0.0005757,86.269,123.3545,185.8969,227.5169,0,U,33864,999,82621,0.01189,0.00094908,0
IRIDIUM 33 DEB,1997-051AK,2024-10-05T18:23:34.089792,14.21067749,0.0115125,86.2981,275.6003,106.8818,66.0286,0,U,33866,999,80650,0.0026767,6.231e-05,0
IRIDIUM 33 DEB,1997-051AL,2024-10-05T19:28:59.914848,14.85128697,0.0020183,86.4144,193.9594,133.142,227.1496,0,U,33867,999,82993,0.0092448,0.000802,0
IRIDIUM 33 DEB,1997-051AP,2024-10-05T22:19:45.518016,14.41801048,0.0021762,86.3752,243.1072,169.1696,245.5051,0,U,33870,999,81898,0.0044831,0.00014722,0
IRIDIUM 33 DEB,1997-051AT,2024-10-05T21:18:52.557120,14.66791746,0.0031235,86.2831,204.5504,10.6939,31.4545,0,U,33874,999,81584,0.024987,0.0014317,0
IRIDIUM 33 DEB,1997-051BA,2024-10-05T11:13:25.711680,14.41884497,0.0063025,86.3866,293.0686,174.3091,313.7743,0,U,33881,999,81218,0.0043777,0.00014706,0
IRIDIUM 33 DEB,1997-051BD,2024-10-05T20:56:12.908832,14.6330879,0.0016373,86.3762,203.4291,29.0128,37.8818,0,U,33884,999,82482,0.0062481,0.0003244,0
IRIDIUM 33 DEB,1997-051BF,2024-10-06T04:30:22.463136,14.35114193,0.001255,86.3805,249.0322,213.1556,157.8674,0,U,33886,999,81848,0.0012004,3.447e-05,0
IRIDIUM 33 DEB,1997-051BG,2024-10-05T19:36:51.414336,14.36481788,0.0005042,86.312,189.7532,199.1023,228.0899,0,U,33887,999,81948,0.0010386,3.065e-05,0
IRIDIUM 33 DEB,1997-051BN,2024-10-06T03:46:07.436928,14.48725675,0.0023876,86.3892,240.447,102.837,268.6725,0,U,33953,999,82072,0.0078626,0.00029868,0
IRIDIUM 33 DEB,1997-051BU,2024-10-06T04:48:36.888480,14.75644614,0.003437,86.3603,245.4391,249.219,110.5346,0,U,33959,999,81671,0.024558,0.00173338,0
IRIDIUM 33 DEB,1997-051BV,2024-10-05T20:34:29.321184,14.65055982,0.0003586,86.2662,130.3523,95.4673,275.9201,0,U,33960,999,82495,0.0081721,0.00044099,0
IRIDIUM 33 DEB,1997-051CA,2024-10-06T04:12:40.281408,14.99563466,0.0015843,86.3542,181.5161,92.6373,267.6672,0,U,33965,999,82697,0.014921,0.00188544,0
IRIDIUM 33 DEB,1997-051CB,2024-10-06T03:45:43.231968,14.46301038,0.0006277,86.3947,231.1074,186.3158,185.23,0,U,33966,999,82206,0.0038658,0.00013891,0
IRIDIUM 33 DEB,1997-051CE,2024-10-05T20:17:17.294784,14.45791083,0.0010308,86.3523,205.4004,101.6921,258.5438,0,U,34071,999,82070,0.0038201,0.00013588,0
IRIDIUM 33 DEB,1997-051CL,2024-10-06T04:02:10.447872,14.536663,0.0016826,86.3894,240.3582,60.8297,310.8913,0,U,34077,999,82023,0.007215,0.00030373,0
IRIDIUM 33 DEB,1997-051CN,2024-10-05T20:40:17.916672,14.66639784,0.0013415,86.3876,203.0828,50.9516,17.1401,0,U,34079,999,82591,0.0093558,0.00052428,0
IRIDIUM 33 DEB,1997-051CV,2024-10-05T20:12:55.473408,14.83136125,0.0020956,86.3727,225.5269,73.156,346.3402,0,U,34086,999,2851,0.020824,0.0017452,0
IRIDIUM 33 DEB,1997-051CX,2024-10-05T20:40:54.300576,14.66205944,0.0004518,86.3957,225.511,9.8516,43.3263,0,U,34088,999,82343,0.011693,0.00064936,0
IRIDIUM 33 DEB,1997-051DA,2024-10-05T15:55:20.604288,14.53072991,0.0056484,86.3589,260.2138,8.1554,352.0556,0,U,34091,999,81513,0.019471,0.0008309,0
IRIDIUM 33 DEB,1997-051DG,2024-10-05T04:54:05.959296,14.29074628,0.0087759,86.208,191.9471,330.4219,29.2024,0,U,34097,999,80913,0.010636,0.00028186,0
IRIDIUM 33 DEB,1997-051DM,2024-10-06T02:52:40.772640,14.73152182,0.0056768,86.3533,294.6883,189.8808,206.3247,0,U,34102,999,81117,0.026119,0.00176813,0
IRIDIUM 33 DEB,1997-051DR,2024-10-05T18:08:14.806752,14.86878206,0.0010639,86.3489,174.8603,16.2544,41.9361,0,U,34106,999,82694,0.012539,0.00113768,0
IRIDIUM 33 DEB,1997-051DS,2024-10-06T03:06:54.126432,14.95682867,0.000715,86.3805,181.916,28.6318,109.5252,0,U,34107,999,82816,0.011051,0.00125035,0
IRIDIUM 33 DEB,1997-051DY,2024-10-05T16:30:58.866048,14.37104152,0.0061027,86.2195,164.6377,76.1706,284.6272,0,U,34145,999,81405,0.0050411,0.00015335,0
IRIDIUM 33 DEB,1997-051DZ,2024-10-05T11:18:54.900000,14.44110313,0.0028079,86.2909,180.4596,223.8416,311.4636,0,U,34146,999,81841,0.0053958,0.00018622,0
IRIDIUM 33 DEB,1997-051EN,2024-10-06T04:05:37.187520,14.36509284,0.0026176,86.3524,232.281,266.1414,93.679,0,U,34159,999,81743,0.0024347,7.193e-05,0
IRIDIUM 33 DEB,1997-051ES,2024-10-05T19:31:30.724320,14.43371332,0.0023272,86.3355,190.3044,128.8059,301.7024,0,U,34350,999,82043,0.0023152,7.857e-05,0
IRIDIUM 33 DEB,1997-051FA,2024-10-06T03:12:54.842976,15.40580869,0.0022407,86.2528,151.4672,96.8073,57.4691,0,U,34358,999,82640,0.018876,0.00833308,0
IRIDIUM 33 DEB,1997-051FJ,2024-10-05T22:15:25.003008,14.4709237,0.0024102,86.3705,236.5025,141.0326,282.2106,0,U,34366,999,81904,0.0072808,0.00026721,0
IRIDIUM 33 DEB,1997-051FT,2024-10-05T17:35:57.544224,14.16503087,0.0105688,86.4361,357.1732,62.7838,66.7603,0,U,34375,999,80578,0.0023041,4.861e-05,0
IRIDIUM 33 DEB,1997-051FU,2024-10-05T23:39:22.688064,14.51249357,0.0029043,86.3093,199.2912,190.4566,169.6039,0,U,34376,999,81865,0.0088676,0.00035614,0
IRIDIUM 33 DEB,1997-051GB,2024-10-05T19:36:22.836672,14.71960119,0.0011044,86.4076,207.9279,185.5066,227.8911,0,U,34486,999,82565,0.0088432,0.00055912,0
IRIDIUM 33 DEB,1997-051GC,2024-10-05T12:56:05.344800,14.42054119,0.0033476,86.3508,198.6341,119.7726,53.8305,0,U,34487,999,82002,0.0013918,4.619e-05,0
IRIDIUM 33 DEB,1997-051GD,2024-10-06T02:05:54.422016,14.80218256,0.0018108,86.3389,150.4828,119.1022,241.2015,0,U,34488,999,82861,0.0086727,0.00066696,0
IRIDIUM 33 DEB,1997-051GH,2024-10-06T02:05:56.181984,14.10156541,0.0231842,86.4877,147.1243,177.9825,335.1404,0,U,34492,999,78941,0.017401,0.00039724,0
IRIDIUM 33 DEB,1997-051GN,2024-10-06T03:42:31.069728,14.24861396,0.0081184,86.2795,236.7,290.8924,79.687,0,U,34497,999,80850,0.0054545,0.00013204,0
IRIDIUM 33 DEB,1997-051GU,2024-10-05T19:20:45.314592,15.01049488,0.0007672,86.299,114.8467,295.917,64.1272,0,U,34503,999,82977,0.0063809,0.0008244,0
IRIDIUM 33 DEB,1997-051GZ,2024-10-05T11:11:06.123840,14.32935654,0.0072068,86.368,285.5012,148.7243,211.827,0,U,34508,999,81090,0.0047507,0.00013396,0
IRIDIUM 33 DEB,1997-051HC,2024-10-05T19:30:15.717888,15.62086677,0.0028985,86.3552,206.8451,139.5613,220.7815,0,U,34511,999,82372,0.03482,0.03633232,0
IRIDIUM 33 DEB,1997-051HN,2024-10-05T07:37:28.251840,14.5482684,0.0004042,86.3847,220.1158,356.0413,4.0762,0,U,34521,999,82149,0.0079446,0.00034243,0
IRIDIUM 33 DEB,1997-051HS,2024-10-05T20:12:49.185216,14.40786058,0.0007477,86.3746,231.2112,80.5351,338.897,0,U,34525,999,81849,0.0028108,9.019e-05,0
IRIDIUM 33 DEB,1997-051HW,2024-10-05T20:41:54.517920,14.3972879,0.0005693,86.368,219.7001,161.6514,198.4891,0,U,34529,999,81911,0.00092284,2.909e-05,0
IRIDIUM 33 DEB,1997-051JF,2024-10-05T05:02:08.401344,14.38442587,0.0036459,86.283,194.7902,313.9536,203.6428,0,U,34538,999,81513,0.0060463,0.00018642,0
IRIDIUM 33 DEB,1997-051JH,2024-10-05T15:33:15.317280,14.6408555,0.0019641,86.3189,143.8014,228.1306,186.0952,0,U,34540,999,82658,0.0043953,0.00023211,0
IRIDIUM 33 DEB,1997-051JZ,2024-10-05T18:15:10.142784,14.00996663,0.0209363,86.4033,95.1852,210.9708,147.8988,0,U,34648,999,78871,0.027904,0.00050874,0
IRIDIUM 33 DEB,1997-051KC,2024-10-05T20:23:34.167264,14.16428258,0.0169192,86.2855,323.6153,147.1119,214.0733,0,U,34651,999,79743,0.012162,0.000279,0
IRIDIUM 33 DEB,1997-051KD,2024-10-05T23:14:41.100000,14.55867157,0.0031401,86.3382,171.7678,328.7062,42.2039,0,U,34652,999,82325,0.0043303,0.00019175,0
IRIDIUM 33 DEB,1997-051KM,2024-10-05T20:54:03.892032,14.50877018,0.0012953,86.3833,224.4572,39.8494,14.4442,0,U,34690,999,81807,0.0028227,0.00011172,0
IRIDIUM 33 DEB,1997-051KQ,2024-10-05T21:57:23.059872,14.79325333,0.0017496,86.3309,148.8932,131.3214,240.2518,0,U,34693,999,82491,0.0081397,0.00061228,0
IRIDIUM 33 DEB,1997-051KT,2024-10-06T03:22:03.521856,14.38484919,0.010059,86.1995,224.2606,172.94,200.3467,0,U,34696,999,80442,0.016403,0.00053503,0
IRIDIUM 33 DEB,1997-051KZ,2024-10-05T17:50:06.279936,14.91891736,0.0025612,86.292,103.9998,346.1585,13.8937,0,U,34702,999,82951,0.008408,0.00086459,0
IRIDIUM 33 DEB,1997-051LJ,2024-10-05T21:13:03.094176,14.38353375,0.0015428,86.3435,218.1145,193.8767,235.3194,0,U,34765,999,81465,0.0028197,8.621e-05,0
IRIDIUM 33 DEB,1997-051LU,2024-10-06T04:15:16.181568,14.72188775,0.0020413,86.368,221.1328,14.8342,50.979,0,U,34775,999,82003,0.014295,0.00091522,0
IRIDIUM 33 DEB,1997-051MH,2024-10-05T21:46:11.709408,14.47521135,0.0024429,86.3952,236.7689,102.2713,312.4364,0,U,34833,999,81441,0.0050388,0.00018644,0
IRIDIUM 33 DEB,1997-051MQ,2024-10-04T09:41:14.609184,14.64347518,0.0020596,86.3179,151.1844,258.2059,275.5851,0,U,34870,999,82525,0.0047731,0.00025367,0
IRIDIUM 33 DEB,1997-051MY,2024-10-05T22:25:22.897056,14.59440383,0.0027919,86.3359,159.7783,258.8172,112.1628,0,U,34896,999,81290,0.0038526,0.00018408,0
IRIDIUM 33 DEB,1997-051NF,2024-10-06T02:53:20.182272,14.33645953,0.0122327,86.1485,205.3414,284.045,139.7272,0,U,34926,999,80264,0.022022,0.00066947,0
IRIDIUM 33 DEB,1997-051NH,2024-10-05T11:19:31.519776,14.849535,0.0027076,86.3937,176.8121,71.4206,288.9955,0,U,34928,999,59734,0.0080424,0.00069568,0
IRIDIUM 33 DEB,1997-051NR,2024-10-05T16:38:11.927904,14.39423751,0.0020627,86.3684,241.1193,207.0412,328.3879,0,U,34985,999,80939,0.0028549,8.929e-05,0
IRIDIUM 33 DEB,1997-051NX,2024-10-05T12:42:07.873056,14.4405077,0.0011486,86.3315,197.1276,83.0229,277.2278,0,U,35051,999,80735,0.0035772,0.00012276,0
IRIDIUM 33 DEB,1997-051NY,2024-10-05T12:16:09.732864,14.37491473,0.0014016,86.3368,205.9741,67.2649,293.0028,0,U,35052,999,81049,0.0014311,4.307e-05,0
IRIDIUM 33 DEB,1997-051PF,2024-10-05T09:42:41.176800,14.43616309,0.0119856,86.2324,251.3268,214.0029,145.3452,0,U,35080,999,63356,0.014653,0.00054588,0
IRIDIUM 33 DEB,1997-051PL,2024-10-04T09:39:21.764736,14.97821869,0.0011171,86.297,146.0653,24.8284,335.3482,0,U,35296,999,1747,0.015623,0.00188512,0
IRIDIUM 33 DEB,1997-051PM,2024-10-04T16:00:27.669888,14.41668851,0.0018915,86.3825,247.4181,132.2182,228.0627,0,U,35297,999,64163,0.0037567,0.00012294,0
IRIDIUM 33 DEB,1997-051PP,2024-10-06T02:59:08.179008,14.3556462,0.0061734,86.2942,220.6814,83.8911,336.198,0,U,35299,999,80224,0.0056738,0.00016741,0
IRIDIUM 33 DEB,1997-051QA,2024-10-06T02:04:11.467776,14.46098871,0.0016887,86.3631,211.8868,102.3111,257.9983,0,U,35480,999,81070,0.0041359,0.00014823,0
IRIDIUM 33 DEB,1997-051QE,2024-10-04T12:03:07.958880,14.71168658,0.0027423,86.3766,191.3355,223.6692,136.2355,0,U,35484,999,81516,0.0088903,0.00055462,0
